cycle,fsm,ch_count,mac_start,phase_clear,mac_done,is_ch35,in_valid,in_ready,ch_done,pixel_valid,px_frame,px_pass,px_y,px_x,pixel_in0,pixel_in1,pixel_in2,lb_wr_row,lb_wr_col,win_valid,win_frame,win_pass,win_oy,win_ox,wac,cal_valid,out_ch_sel,rom_grp,mac_s1,mac_s2,mac_valid,mac_frame,mac_pass,mac_pos,mac_och,ch_result0,ch_result1,ch_result2,ob_state,ob_pixel_cnt,ob_och_cnt,sum_valid,sum_frame,sum_pos,sum_och,sum_data,sum_ch_done,fifo_count,out_valid,out_ready,out_frame,out_pos,out_och,out_data,out_ch_done,monitor_err
0,IDLE,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1681,0,0,0,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,IDLE,0,0,0,,,,0,0,0,0,1,,,,,,0
1,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1681,0,0,1,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
2,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1681,0,0,2,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
3,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,3,0,1681,0,0,3,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
4,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,4,0,1681,0,0,4,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
5,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,5,0,1681,0,0,5,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
6,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,6,0,1681,0,0,6,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
7,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,7,0,987,0,0,7,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
8,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,8,0,676,603,0,8,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
9,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,9,0,1665,361,0,9,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
10,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,10,0,1681,0,0,10,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
11,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,11,0,1681,0,0,11,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
12,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,0,12,0,1681,0,0,12,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
13,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1681,0,1,0,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
14,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1681,0,1,1,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
15,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,2,0,1681,0,1,2,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
16,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,3,0,1681,0,1,3,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
17,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,4,0,1681,0,1,4,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
18,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,5,0,1681,0,1,5,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
19,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,6,501,175,0,1,6,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
20,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,7,0,0,2615,1,7,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
21,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,8,0,0,3277,1,8,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
22,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,9,0,1003,2489,1,9,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
23,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,10,0,1681,37,1,10,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
24,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,11,0,1681,0,1,11,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
25,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,1,12,0,1681,0,1,12,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
26,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,0,0,1681,0,2,0,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
27,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,1,0,1681,0,2,1,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
28,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,2,0,1681,0,2,2,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
29,CH02_IMG_IN,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,1,0,0,0,0,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
30,WAIT_MAC_02,0,1,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
31,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
32,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,1,0,1,0,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
33,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,2,0,1,1,0,,,,,0,0,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
34,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,3,0,1,1,1,0,0,0,0,0,-8732795,0,ACCUM_G0,0,0,0,,,,0,0,0,0,1,,,,,,0
35,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,4,0,1,1,1,0,0,0,1,0,-6523961,0,ACCUM_G0,0,1,0,,,,0,0,0,0,1,,,,,,0
36,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,5,0,1,1,1,0,0,0,2,0,-38652914,0,ACCUM_G0,0,2,0,,,,0,0,0,0,1,,,,,,0
37,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,6,0,1,1,1,0,0,0,3,0,-309304,0,ACCUM_G0,0,3,0,,,,0,0,0,0,1,,,,,,0
38,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,7,0,1,1,1,0,0,0,4,0,1941555,0,ACCUM_G0,0,4,0,,,,0,0,0,0,1,,,,,,0
39,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,8,0,1,1,1,0,0,0,5,0,-97711487,0,ACCUM_G0,0,5,0,,,,0,0,0,0,1,,,,,,0
40,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1681,0,2,3,0,,,,,WEIGHT_CAL,1,9,0,1,1,1,0,0,0,6,0,39390873,0,ACCUM_G0,0,6,0,,,,0,0,0,0,1,,,,,,0
